TIME,WBE_1,WBE_2,WBE_3,FSP_X,FSP_Y,FSP_Z
0,-0.0144326,-0.0184488702423308,-0.00665835,-1.72643,-0.064154,0.520823
0.005,0.00641196,0.0296693422082553,-0.0429839,2.54525,-1.07781,2.47909
0.01,-0.01318,0.0604967140634473,-0.0675643,0.640632,-0.777267,-0.556031
0.015,-0.0202116,0.0132306081159973,-0.0935166,0.113312,-2.45476,-0.433919
0.02,-0.0517205,0.0773551523138412,-0.117779,0.120674,0.2921,-0.717499
0.025,-0.076903,0.0277729991468373,-0.148454,0.205298,0.431033,-2.36609
0.03,-0.140881,0.0617852321742352,-0.164841,-0.189621,-0.746124,-0.944796
0.035,-0.21367,0.141037168491144,-0.169915,1.25359,0.620954,-0.734683
0.04,-0.264233,0.1659979427166,-0.183294,-0.0105282,-0.0693945,-0.862452
0.045,-0.329516,0.169396889820887,-0.198052,-0.310561,-0.129604,-2.87944
0.05,-0.348249,0.241881371119776,-0.196835,-0.530584,-1.00462,-2.97095
0.055,-0.345448,0.192728336366149,-0.192348,0.472309,0.601638,-3.01468
0.06,-0.351668,0.189458421093729,-0.184752,-0.474464,-0.609863,-2.37836
0.065,-0.333918,0.179492497791301,-0.172273,0.774731,-0.290484,-3.08302
0.07,-0.319479,0.202619831812023,-0.147285,0.11438,0.695425,-2.61969
0.075,-0.283714,0.347255531734947,-0.150374,1.31546,0.154082,-4.23654
0.08,-0.236608,0.383217878173365,-0.122975,0.153631,0.8319,-4.43088
0.085,-0.217186,0.340352848706828,-0.147231,-0.323774,1.1235,-4.4293
0.09,-0.193429,0.380674666153217,-0.128791,2.84705,1.18064,-5.22761
0.095,-0.173784,0.448316222768267,-0.0943563,-0.922926,-0.653919,-4.87166
0.1,-0.14935,0.428313335357422,-0.0923861,-0.261003,0.359378,-5.39915
0.105,-0.131489,0.433078685875458,-0.0857533,-0.161703,0.356059,-3.30384
0.11,-0.124449,0.52757339009665,-0.0801673,-0.311032,-0.0631404,-6.73136
0.115,-0.104422,0.605796446788717,-0.0602181,-0.732753,0.308874,-5.89818
0.12,-0.0895895,0.597009135188445,-0.0760251,0.507155,1.04616,-7.03485
0.125,-0.0781479,0.520591737409664,-0.0311428,0.369966,-0.518733,-6.78301
0.13,-0.0706145,0.591735123998124,-0.029713,0.0830109,2.18556,-7.255
0.135,-0.0562472,0.595358815031445,-0.0313823,-0.21962,-0.275118,-5.81117
0.14,-0.029219,0.698861282203253,-0.0294088,0.474211,0.784467,-7.81844
0.145,-0.0304807,0.629265842609756,-0.0137156,-0.387505,-0.571214,-7.56613
0.15,-0.0200378,0.618543911212705,-0.0135932,-2.02968,0.147521,-7.59614
0.155,-0.0150437,0.647023332529986,0.0199182,0.796286,-0.585594,-6.44036
0.16,0.00605,0.638693163139439,0.037219,-1.96365,-0.743679,-7.12803
0.165,0.0328269,0.630744431409454,0.00246911,2.19838,0.589408,-9.81697
0.17,0.0352781,0.619180995329049,0.0280858,1.43042,0.59816,-8.1216
0.175,0.0272426,0.549497523486289,0.0373035,1.60501,0.586019,-8.01032
0.18,0.0486492,0.563351631603238,0.0486184,1.56925,-0.0482185,-8.37583
0.185,0.0582366,0.492016634256735,0.0613159,1.11119,-1.35878,-8.27312
0.19,0.0463967,0.508390410569161,0.0807418,0.0905034,1.04364,-8.86896
0.195,0.0812759,0.421618716221494,0.10087,0.98971,0.0621896,-9.74816
0.2,0.0916369,0.329098169435257,0.113605,-1.53412,-0.501358,-9.93742
0.205,0.0909854,0.289727426604372,0.084282,1.33359,1.43497,-9.5657
0.21,0.135897,0.239754413177948,0.113926,-0.0324145,-0.688545,-8.52893
0.215,0.136836,0.180810886620767,0.116515,-1.03556,-0.287524,-8.52482
0.22,0.14456,0.0843720634430673,0.109532,-0.7145,0.842265,-9.40639
0.225,0.17833,0.0671656962870943,0.122014,1.46182,0.115095,-8.6281
0.23,0.173353,0.0231542022286024,0.128042,1.17834,0.329197,-9.05944
0.235,0.186041,0.0303145241193029,0.118486,-1.5766,-0.0306565,-10.2224
0.24,0.208741,-0.103130449089435,0.121495,1.6596,0.544174,-9.02895
0.245,0.228183,-0.116972465169355,0.128479,1.66098,-1.48579,-10.132
0.25,0.209251,-0.179743668061347,0.131916,0.790528,-0.875465,-9.13377
0.255,0.233809,-0.278623052960326,0.126666,0.44599,0.958214,-9.0143
0.26,0.235667,-0.332705738333873,0.132569,-1.64487,-0.309261,-10.903
0.265,0.243041,-0.329931964501005,0.114684,1.42385,-0.995074,-9.54651
0.27,0.26333,-0.359149454331815,0.144863,-1.56909,0.045392,-9.38553
0.275,0.261385,-0.441520084464221,0.113635,0.635664,-1.21107,-11.2185
0.28,0.254092,-0.445689295406125,0.113608,-0.446064,0.983565,-8.04228
0.285,0.25526,-0.477239858644966,0.117822,0.431319,-0.110803,-9.45669
0.29,0.265261,-0.538290303063449,0.107017,0.500752,0.360087,-10.842
0.295,0.268097,-0.582496737762444,0.112154,0.435353,0.888888,-10.6066
0.3,0.252955,-0.682695303724299,0.104715,1.17957,0.83406,-10.2488
0.305,0.260343,-0.663152540092929,0.10115,-0.6289,0.965957,-9.50171
0.31,0.261575,-0.668168140122755,0.104533,1.49487,0.256593,-11.6796
0.315,0.259849,-0.71912954680614,0.0957252,1.15383,-0.810923,-11.8424
0.32,0.274534,-0.795540032492718,0.0948942,-1.03231,0.477042,-10.5503
